Name,WAR,playerid
Aaron Judge,8.2,15640
Jose Altuve,7.5,5417
Anthony Rendon,6.9,12861
Giancarlo Stanton,6.9,4949
Mike Trout,6.9,10155
Kris Bryant,6.7,15429
Joey Votto,6.6,4314
Jose Ramirez,6.6,13510
Charlie Blackmon,6.5,7859
Tommy Pham,5.9,2967
Francisco Lindor,5.9,12916
Corey Seager,5.7,13624
Nolan Arenado,5.6,9777
Justin Turner,5.5,5235
Mookie Betts,5.3,13611
Paul Goldschmidt,5.3,9218
Justin Upton,5,5222
Zack Cozart,5,2616
Brian Dozier,5,9810
Andrelton Simmons,4.9,10847
Marcell Ozuna,4.8,10324
Chris Taylor,4.7,13757
Christian Yelich,4.5,11477
Freddie Freeman,4.5,5361
George Springer,4.5,12856
Gary Sanchez,4.4,11442
Daniel Murphy,4.3,4316
Buster Posey,4.3,9166
Avisail Garcia,4.2,5760
Eugenio Suarez,4.1,12552
Eric Hosmer,4.1,3516
Jose Abreu,4.1,15676
Jonathan Schoop,4.1,11265
Lorenzo Cain,4.1,9077
Elvis Andrus,4.1,8709
Marwin Gonzalez,4.1,5497
Cody Bellinger,4,15998
Anthony Rizzo,4,3473
Didi Gregorius,3.9,6012
Nelson Cruz,3.8,2434
Alex Bregman,3.8,17678
Brett Gardner,3.8,9927
Andrew McCutchen,3.7,9847
Steven Souza Jr.,3.7,5667
J.T. Realmuto,3.6,11739
Tim Beckham,3.5,7949
Jed Lowrie,3.5,4418
Kyle Seager,3.5,9785
Byron Buxton,3.5,14161
Josh Reddick,3.5,3892
Travis Shaw,3.4,11982
Justin Smoak,3.4,9054
Dee Gordon,3.3,8203
Domingo Santana,3.3,10348
Ryan Zimmerman,3.3,4220
Logan Morrison,3.3,9205
Cesar Hernandez,3.3,10556
Robinson Cano,3.2,3269
Xander Bogaerts,3.2,12161
Whit Merrifield,3.1,11281
Carlos Santana,3,2396
Todd Frazier,3,785
Ender Inciarte,3,4922
Matt Carpenter,2.9,8090
Yasiel Puig,2.9,14225
Jean Segura,2.9,5933
Joey Gallo,2.9,14128
Odubel Herrera,2.8,11476
Manny Machado,2.8,11493
Jay Bruce,2.7,9892
Corey Dickerson,2.6,10762
Josh Harrison,2.6,8202
Jake Lamb,2.5,13329
Eddie Rosario,2.5,12155
Evan Longoria,2.5,9368
Edwin Encarnacion,2.5,2151
Matt Joyce,2.4,3353
Yonder Alonso,2.4,2530
Ian Kinsler,2.4,6195
Jackie Bradley Jr.,2.3,12984
Khris Davis,2.3,9112
Joe Mauer,2.3,1857
Javier Baez,2.2,12979
Andrew Benintendi,2.2,17901
Mike Moustakas,2.2,4892
Kole Calhoun,2.2,11200
Eric Thames,2.1,3711
Curtis Granderson,2.1,4747
Yolmer Sanchez,2.1,11602
Yadier Molina,2.1,7007
Jose Reyes,2,1736
Joe Panik,2,11936
Brandon Crawford,2,5343
Manuel Margot,1.9,14712
Kevin Pillar,1.9,12434
Chase Headley,1.9,4720
David Peralta,1.8,2136
Yulieski Gurriel,1.8,19198
Trey Mancini,1.8,15149
DJ LeMahieu,1.8,9874
Adam Duvall,1.8,10950
Adam Jones,1.7,6368
Nick Castellanos,1.7,11737
Brandon Phillips,1.6,791
Jorge Polanco,1.6,13152
David Freese,1.6,9549
Freddy Galvis,1.6,6609
Ben Gamel,1.6,12160
Scott Schebler,1.4,12225
Jordy Mercer,1.4,6547
Trevor Story,1.3,12564
Asdrubal Cabrera,1.3,4962
Max Kepler,1.2,12144
Denard Span,1.2,8347
Billy Hamilton,1.2,10199
Orlando Arcia,1.2,13185
Yangervis Solarte,1.1,5352
Wil Myers,0.9,10047
Mitch Moreland,0.9,3086
Nick Markakis,0.9,5930
Shin-Soo Choo,0.8,3174
Mark Reynolds,0.8,7619
Josh Bell,0.8,13145
Hunter Pence,0.7,8252
Alcides Escobar,0.5,6310
Nomar Mazara,0.4,14553
Ryon Healy,0.2,15447
Tim Anderson,0.2,15172
Chris Davis,0.2,9272
Dansby Swanson,0.1,18314
Alex Gordon,0,5209
Melky Cabrera,0,4022
Carlos Gonzalez,-0.2,7287
Miguel Cabrera,-0.2,1744
Jose Peraza,-0.2,13593
Hanley Ramirez,-0.4,8001
Jose Bautista,-0.5,1887
Maikel Franco,-0.5,12179
Kendrys Morales,-0.6,8610
Rougned Odor,-1,12282
Carlos Beltran,-1.1,589
Tommy Joseph,-1.1,10349
Mark Trumbo,-1.2,6876
Albert Pujols,-2,1177
